Group,Hour,Posts
G1,0,58
G2,0,46
G3,0,45
G1,1,27
G2,1,18
G3,1,21
G1,2,22
G2,2,12
G3,2,5
G1,3,4
G2,3,4
G3,3,4
G1,4,1
G2,4,2
G3,4,1
G1,5,3
G2,5,0
G3,5,2
G1,6,8
G2,6,4
G3,6,1
G1,7,33
G2,7,23
G3,7,20
G1,8,55
G2,8,60
G3,8,45
G1,9,154
G2,9,136
G3,9,128
G1,10,286
G2,10,272
G3,10,253
G1,11,436
G2,11,327
G3,11,268
G1,12,372
G2,12,299
G3,12,250
G1,13,302
G2,13,210
G3,13,217
G1,14,329
G2,14,221
G3,14,195
G1,15,398
G2,15,297
G3,15,214
G1,16,388
G2,16,307
G3,16,224
G1,17,428
G2,17,316
G3,17,205
G1,18,399
G2,18,281
G3,18,192
G1,19,337
G2,19,269
G3,19,164
G1,20,256
G2,20,218
G3,20,123
G1,21,253
G2,21,166
G3,21,115
G1,22,151
G2,22,119
G3,22,104
G1,23,123
G2,23,65
G3,23,64
